U(V),V1(0.1mm/s),V2(0.1mm/s),v1(m/s),v2(m),Q(C),Q/e,t1(s),t2(s),s(0.1mm)
400,4.819277108,2.518891688,0.000257028,0.000134341,3.13723E-18,19.6,4.15,7.94,20
400,0.931098696,4.04040404,4.96586E-05,0.000215488,9.3423E-19,5.8,21.48,4.95,20
400,5.747126437,1.888574127,0.000306513,0.000100724,3.56486E-18,22.3,3.48,10.59,20
400,8.032128514,3.169572108,0.00042838,0.000169044,6.18255E-18,38.6,2.49,6.31,20
400,1.809954751,4.750593824,9.65309E-05,0.000253365,1.71887E-18,10.7,11.05,4.21,20
400,11.29943503,2.430133657,0.000602637,0.000129607,8.9878E-18,56.2,1.77,8.23,20
400,1.340482574,1.867413632,7.14924E-05,9.95954E-05,7.23301E-19,4.5,14.92,10.71,20
400,5.763688761,2.971768202,0.000307397,0.000158494,4.08417E-18,25.5,3.47,6.73,20
400,7.812500,1.949317739,0.000416667,0.000103964,5.31366E-18,33.2,2.56,10.26,20
400,4.761904762,2.919708029,0.000253968,0.000155718,3.26446E-18,20.4,4.20,6.85,20
400,4.016064257,2.659574468,0.00021419,0.000141844,2.60532E-18,16.3,4.98,7.52,20
400,4.415011038,0,0.000235467,0.000000,1.80662E-18,11.3,4.53,inf,20
400,2.90275762,2.444987775,0.000154814,0.000130,1.77437E-18,11.1,6.89,8.18,20
400,3.129890454,2.670226969,0.000166927,0.000142412,1.99834E-18,12.5,6.39,7.49,20
400,0.838926174,3.184713376,4.47427E-05,0.000169851,7.1771E-19,4.5,23.84,6.28,20
400,7.604562738,1.263423879,0.000405577,6.73826E-05,4.76245E-18,29.8,2.63,15.83,20
400,5.540166205,5.649717514,0.000295476,0.000301318,5.12926E-18,32.1,3.61,3.54,20
400,3.766478343,5.540166205,0.000200879,0.000295476,3.51746E-18,22.0,5.31,3.61,20
400,5.263157895,7.662835249,0.000280702,0.000408685,5.77504E-18,36.1,3.8,2.61,20
400,4.987531172,5.540166205,0.000266002,0.000295476,4.57872E-18,28.6,4.01,3.61,20
400,4.301075269,12.7388535,0.000229391,0.000679406,6.88215E-18,43.0,4.65,1.57,20
400,6.493506494,1.876172608,0.00034632,0.000100063,4.15352E-18,26.0,3.08,10.66,20
400,4.366812227,10.15228426,0.000232897,0.000541455,5.90867E-18,36.9,4.58,1.97,20
400,5.18134715,4.192872117,0.000276339,0.00022362,4.15551E-18,26.0,3.86,4.77,20
400,3.149606299,10.52631579,0.000167979,0.000561404,4.72664E-18,29.5,6.35,1.9,20
400,2.283105023,7.117437722,0.000121766,0.000379597,2.7662E-18,17.3,8.76,2.81,20
400,1.85013876,7.8125,9.86741E-05,0.000416667,2.55956E-18,16.0,10.81,2.56,20
400,3.780718336,4.016064257,0.000201638,0.00021419,2.95237E-18,18.5,5.29,4.98,20
400,3.401360544,10.86956522,0.000181406,0.00057971,5.12562E-18,32.0,5.88,1.84,20
400,4.246284501,5.18134715,0.000226469,0.000276339,3.78334E-18,23.6,4.71,3.86,20
400,2.754820937,10.52631579,0.000146924,0.000561404,4.29289E-18,26.8,7.26,1.9,20
